Sigla Empresa;Fecha;Origen;Destino;Tipo de Equipo;Número de Vuelos;Horas Bloque;Sillas;Carga Ofrecida Kg;Pasajeros A Bordo;Distancia;Trafico;Tipo de Vuelo;Nombre Empresa;Ciudad Origen;Ciudad Destino;Pais Origen;Pais Destino;Apto_Origen;Apto_Destino;Grupo de Empresas;OW;Ruta;Millas;Año;Mes
VVC;1/03/2020;BOG;ADZ;A320;54;117,19;10072;7074;0;;Domestic;Regular;FAST COLOMBIA SAS;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;VVC;BOG-ADZ;ADZ-BOG;749;2020;mar
VVC;1/03/2020;ADZ;BOG;A320;54;109,38;10064;8713;0;;Domestic;Regular;FAST COLOMBIA SAS;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;VVC;ADZ-BOG;ADZ-BOG;749;2020;mar
RPB;1/03/2020;BOG;ADZ;B738;12;28,15;2232;1527;0;;Domestic;Regular;AEROREPUBLICA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;CMP;BOG-ADZ;ADZ-BOG;749;2020;mar
RPB;1/03/2020;ADZ;BOG;B738;12;24,05;2232;1756;0;;Domestic;Regular;AEROREPUBLICA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;CMP;ADZ-BOG;ADZ-BOG;749;2020;mar
KRE;1/03/2020;BOG;ADZ;B722;4;7,65;0;0;0;;Domestic;Regular;AEROSUCRE;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;KRE;BOG-ADZ;ADZ-BOG;749;2020;mar
KRE;1/03/2020;ADZ;BOG;B722;3;5,66;0;0;0;;Domestic;Regular;AEROSUCRE;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;KRE;ADZ-BOG;ADZ-BOG;749;2020;mar
KRE;1/03/2020;ADZ;BOG;732;3;5,87;0;0;0;;Domestic;Regular;AEROSUCRE;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;KRE;ADZ-BOG;ADZ-BOG;749;2020;mar
AVA;1/03/2020;BOG;ADZ;A321;49;107,77;9419;6587;0;;Domestic;Regular;AVIANCA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;AVA;BOG-ADZ;ADZ-BOG;749;2020;mar
AVA;1/03/2020;BOG;ADZ;A320;33;72,56;4949;2090;0;;Domestic;Regular;AVIANCA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;AVA;BOG-ADZ;ADZ-BOG;749;2020;mar
AVA;1/03/2020;ADZ;BOG;A321;49;99,74;9420;7658;0;;Domestic;Regular;AVIANCA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;AVA;ADZ-BOG;ADZ-BOG;749;2020;mar
AVA;1/03/2020;ADZ;BOG;A320;33;65,7;4950;3704;0;;Domestic;Regular;AVIANCA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;AVA;ADZ-BOG;ADZ-BOG;749;2020;mar
ARE;1/03/2020;BOG;ADZ;A320;38;78,84;6552;3981;0;;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;LAN;BOG-ADZ;ADZ-BOG;749;2020;mar
ARE;1/03/2020;BOG;ADZ;A319;48;100,54;6828;4450;0;;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;LAN;BOG-ADZ;ADZ-BOG;749;2020;mar
ARE;1/03/2020;ADZ;BOG;A320;42;81,46;7278;5791;0;;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;LAN;ADZ-BOG;ADZ-BOG;749;2020;mar
ARE;1/03/2020;ADZ;BOG;A319;46;88,04;6564;5601;0;;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;LAN;ADZ-BOG;ADZ-BOG;749;2020;mar
VVC;1/02/2020;BOG;ADZ;A320;76;169,57;14176;0;12965;;Domestic;Regular;FAST COLOMBIA SAS;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;VVC;BOG-ADZ;ADZ-BOG;749;2020;feb
VVC;1/02/2020;ADZ;BOG;A320;75;151,49;13996;0;12817;;Domestic;Regular;FAST COLOMBIA SAS;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;VVC;ADZ-BOG;ADZ-BOG;749;2020;feb
