Category: All categories

Day,Covid: (Colombia)
2020-03-17,66
2020-03-18,66
2020-03-19,60
2020-03-20,71
2020-03-21,96
2020-03-22,100
2020-03-23,88
2020-03-24,92
2020-03-25,89
2020-03-26,85
2020-03-27,80
2020-03-28,76
2020-03-29,90
2020-03-30,81
2020-03-31,80
2020-04-01,80
2020-04-02,74
2020-04-03,72
2020-04-04,74
2020-04-05,74
2020-04-06,83
2020-04-07,80
2020-04-08,70
2020-04-09,69
2020-04-10,73
2020-04-11,77
2020-04-12,90
2020-04-13,83
2020-04-14,74
2020-04-15,72
2020-04-16,66
2020-04-17,70
2020-04-18,66
2020-04-19,63
2020-04-20,64
2020-04-21,62
2020-04-22,60
2020-04-23,61
2020-04-24,59
2020-04-25,56
2020-04-26,59
2020-04-27,63
2020-04-28,62
2020-04-29,58
2020-04-30,58
2020-05-01,52
2020-05-02,57
2020-05-03,60
2020-05-04,57
2020-05-05,61
2020-05-06,63
2020-05-07,55
2020-05-08,57
2020-05-09,55
2020-05-10,45
2020-05-11,60
2020-05-12,60
2020-05-13,59
2020-05-14,69
2020-05-15,60
2020-05-16,58
2020-05-17,61
2020-05-18,58
2020-05-19,57
2020-05-20,55
2020-05-21,55
2020-05-22,52
2020-05-23,55
2020-05-24,59
2020-05-25,52
2020-05-26,55
2020-05-27,55
2020-05-28,52
2020-05-29,56
2020-05-30,50
2020-05-31,55
2020-06-01,56
2020-06-02,53
2020-06-03,50
2020-06-04,51
2020-06-05,54
2020-06-06,48
2020-06-07,53
2020-06-08,54
2020-06-09,49
2020-06-10,52
2020-06-11,47
2020-06-12,47
2020-06-13,44
2020-06-14,47
